Category,Page Title,Page URL,Page URI,Regex Pattern
Edit Homepage and Navbar,Create Link Group,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/customgroup/create,/d2l/lp/navbars/2703385/customgroup/create,^/d2l/lp/navbars/[0-9]+/customgroup/create.*$
Edit Homepage and Navbar,Edit Custom Link Group,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/customgroup/edit/493647,/d2l/lp/navbars/2703385/customgroup/edit/493647,^/d2l/lp/navbars/[0-9]+/customgroup/edit.*$
Edit Homepage and Navbar,Create Link,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/customlink/create,/d2l/lp/navbars/2703385/customlink/create,^/d2l/lp/navbars/[0-9]+/customlink/create.*$
Edit Homepage and Navbar,Edit Custom Link,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/customlink/edit/1175433,/d2l/lp/navbars/2703385/customlink/edit/1175433,^/d2l/lp/navbars/[0-9]+/customlink/edit.*$
Edit Homepage and Navbar,Custom Links,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/customlink/list,/d2l/lp/navbars/2703385/customlink/list,^/d2l/lp/navbars/[0-9]+/customlink/list.*$
Edit Homepage and Navbar,Manage Navigation & Themes,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/list,/d2l/lp/navbars/2703385/list,^/d2l/lp/navbars/[0-9]+/list.*$
Edit Homepage and Navbar,Create Navbar,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/navbar/Create,/d2l/lp/navbars/2703385/navbar/Create,^/d2l/lp/navbars/[0-9]+/navbar/Create.*$
Edit Homepage and Navbar,Edit Navbar,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/navbar/Edit/341625?isCopySetActive=0,/d2l/lp/navbars/2703385/navbar/Edit/341625?isCopySetActive=0,^/d2l/lp/navbars/[0-9]+/navbar/Edit.*$
Edit Homepage and Navbar,Edit Navbar,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/navbar/Edit/341625?isCopySetActive=0,/d2l/lp/navbars/2703385/navbar/Edit/341625?isCopySetActive=0,^/d2l/lp/navbars/[0-9]+/navbar/Edit.*$
Edit Homepage and Navbar,Create Theme,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/theme/create,/d2l/lp/navbars/2703385/theme/create,^/d2l/lp/navbars/[0-9]+/theme/create.*$
Edit Homepage and Navbar,Edit Theme,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/theme/edit/edit/68078,/d2l/lp/navbars/2703385/theme/edit/edit/68078,^/d2l/lp/navbars/[0-9]+/theme/edit.*$
Edit Homepage and Navbar,Themes,https://gastate.view.usg.edu/d2l/lp/navbars/2703385/themes/list,/d2l/lp/navbars/2703385/themes/list,^/d2l/lp/navbars/[0-9]+/themes/list.*$
